主管機關,辦理單位,位址名稱,連絡電話,地址,熱區分類,無障礙設施,相關網站,X坐標,Y坐標,備註,最後更新時間
臺東縣政府,資訊室,知本火車站,,臺東縣台東市知本路二段900巷85號,交通節點,,,256235.25,2512195.4,,20170930
臺東縣政府,資訊室,台東豐年機場-1,,臺東縣台東市民航路1100號,交通節點,,,260978.15,2517230.61,,20170930
臺東縣政府,資訊室,台東豐年機場-2,,臺東縣台東市民航路1100號,交通節點,,,260978.15,2517230.61,,20170930
臺東縣政府,資訊室,鹿野火車站,,臺東縣鹿野鄉中正路1號,交通節點,,,263958.02,2534599.8,,20170930
臺東縣政府,資訊室,關山火車站,,臺東縣關山鎮博愛路2號,交通節點,,,266844.62,2549353.48,,20170930
臺東縣政府,資訊室,池上火車站,,臺東縣池上鄉鐵花路30號,交通節點,,,272473.21,2558261.16,,20170930
臺東縣政府,資訊室,三仙台風景區,,臺東縣成功鎮基翬路74號,觀光景點,,,291645.17,2557978.72,,20170930
臺東縣政府,資訊室,小野柳遊客中心,,臺東縣台東市松江路一段500號 ,觀光景點,,,270159.7,2521665.81,,20170930
臺東縣政府,資訊室,八仙洞,,臺東縣長濱鄉水母丁1號之4,觀光景點,,,298708.23,2588213.89,,20170930
臺東縣政府,資訊室,八仙洞旁販售區廣場,,臺東縣長濱鄉水母丁1號之4,觀光景點,,,298708.23,2588213.89,,20170930
臺東縣政府,資訊室,東管處都歷本部,,臺東縣成功鎮信義里新村路25號,觀光景點,,,283309.35,2546580.45,,20170930
臺東縣政府,資訊室,比西里岸,,臺東縣成功鎮白蓮路260號,觀光景點,,,291028.35,2558712.57,,20170930
臺東縣政府,資訊室,金樽漁港,,臺東縣東河鄉東河村金樽89號,觀光景點,,,280182.89,2539463.22,,20170930
臺東縣政府,資訊室,金樽漁港,,臺東縣東河鄉東河村金樽89號,觀光景點,,,280182.89,2539463.22,,20170930
臺東縣政府,資訊室,兒童故事館,,臺東縣台東市大同路103號 ,觀光景點,,,265866.57,2516820,,20170930
臺東縣政府,資訊室,池上飯包博物館,,臺東縣池上鄉忠孝路259號 ,觀光景點,,,272610.29,2558061.78,,20170930
臺東縣政府,資訊室,成功鎮公所,,臺東縣成功鎮中山路176號,鄉鎮市區,,,289004.38,2555985.23,,20170930
臺東縣政府,資訊室,成功鎮農會農特產品展售中心,,臺東縣成功鎮美山路139號之2,鄉鎮市區,,,290959.95,2561579.63,,20170930
臺東縣政府,資訊室,成功商水校門口,,臺東縣成功鎮太平路52號,鄉鎮市區,,,289128.03,2555904.22,,20170930
臺東縣政府,資訊室,成功鎮衛生所,,臺東縣成功鎮忠仁里中山東路64號,鄉鎮市區,,,288871.75,2555399.17,,20170930
臺東縣政府,資訊室,東河消防分隊,,臺東縣東河鄉南東河311號,鄉鎮市區,,,281040.65,2540893.05,,20170930
臺東縣政府,資訊室,全家便利商店-台東和平店,,臺東縣卑南鄉太平村和平路102號1樓,鄉鎮市區,,,258926.98,2520171.19,,20170930
臺東縣政府,資訊室,台東縣農會農產品採集館,,臺東縣卑南鄉溫泉路388號,鄉鎮市區,,,252289.06,2510593.12,,20170930
臺東縣政府,資訊室,卑南鄉公所,,臺東縣卑南鄉太平村和平路111號,鄉鎮市區,,,258942.61,2520231.49,,20170930
臺東縣政府,資訊室,卑南鄉衛生所,,臺東縣卑南鄉太平村和平路132號,鄉鎮市區,,,259042.54,2520154.24,,20170930
臺東縣政府,資訊室,達魯馬克部落之臺東循理會教堂,,臺東縣卑南鄉東興村東園一街115巷27號,鄉鎮市區,,,254292.18,2517981.73,,20170930
臺東縣政府,資訊室,鹿野鄉公所,,臺東縣鹿野鄉中華路二段139號,鄉鎮市區,,,263967.25,2534804.67,,20170930
臺東縣政府,資訊室,春一枝鹿野76,,臺東縣鹿野鄉永安村高台路76號,鄉鎮市區,,,262939.78,2536045.72,,20170930
臺東縣政府,資訊室,全家便利商店-台東鹿野店,,臺東縣鹿野鄉中華路一段98號1樓,鄉鎮市區,,,259802.37,2532810.04,,20170930
臺東縣政府,資訊室,鹿野管理站,,臺東縣鹿野鄉永安村高台路46號,鄉鎮市區,,,262821.83,2535831.03,,20170930
臺東縣政府,資訊室,鹿野郵局,,臺東縣鹿野鄉中華路1段427號,鄉鎮市區,,,263948.11,2534391.31,,20170930
臺東縣政府,資訊室,鹿野分駐所,,臺東縣鹿野鄉鹿野村9鄰中華路2段57號,鄉鎮市區,,,263919.66,2534605.53,,20170930
臺東縣政府,資訊室,統一超商-臺東新鹿野,,臺東縣鹿野鄉鹿野村中華路一段430號,鄉鎮市區,,,263977.73,2534381.03,,20170930
臺東縣政府,資訊室,延平鄉公所,,臺東縣延平鄉桃源村昇平路1號,鄉鎮市區,,,258816.8,2533493.5,,20170930
臺東縣政府,資訊室,延平鄉立圖書館,,臺東縣延平鄉桃源村昇平路80號,鄉鎮市區,,,258624.77,2533555.7,,20170930
臺東縣政府,資訊室,太麻里鄉公所,,臺東縣太麻里鄉民權路58號,鄉鎮市區,,,250773.13,2501714.12,,20170930
臺東縣政府,資訊室,太麻服務所,,臺東縣太麻里鄉太麻里街150號,鄉鎮市區,,,250730.95,2501513.97,,20170930
臺東縣政府,資訊室,統一超商-新太麻里,,臺東縣太麻里鄉外環路128號1樓,鄉鎮市區,,,250586.21,2501107.12,,20170930
臺東縣政府,資訊室,太麻里圖書館暨活動中心,,臺東縣太麻里鄉民權路58號,鄉鎮市區,,,250773.13,2501714.12,,20170930
臺東縣政府,資訊室,關山鎮公所,,臺東縣關山鎮中山路54號,鄉鎮市區,,,266714.86,2549546.48,,20170930
臺東縣政府,資訊室,統一超商-關山,,臺東縣關山鎮和平路4號1樓,鄉鎮市區,,,266716.93,2549289.98,,20170930
臺東縣政府,資訊室,關山鎮公有零售市場,,臺東縣關山鎮中華路2巷1號,鄉鎮市區,,,266671.6,2549730.88,,20170930
臺東縣政府,資訊室,關山工商校校區內,,臺東縣關山鎮民權路58號,鄉鎮市區,,,266307.59,2549603.17,,20170930
臺東縣政府,資訊室,關山衛生所,,臺東縣關山鎮中華路78號,鄉鎮市區,,,266790.91,2549781.62,,20170930
臺東縣政府,資訊室,池上鄉公所,,臺東縣池上鄉中山路101號,鄉鎮市區,,,272020.63,2557862.21,,20170930
臺東縣政府,資訊室,統一超商-池上,,臺東縣池上鄉中山路64號1樓,鄉鎮市區,,,271848.13,2557669.26,,20170930
臺東縣政府,資訊室,池上分駐所,,臺東縣池上鄉中山路211號,鄉鎮市區,,,272385.07,2558108.6,,20170930
臺東縣政府,資訊室,池上衛生所,,臺東縣池上鄉中山路 104號,鄉鎮市區,,,272000.98,2557774.22,,20170930
臺東縣政府,資訊室,全家便利商店-台東達人店,,臺東縣達仁鄉安朔村復興路154號之2,鄉鎮市區,,,237955.49,2466110,,20170930
臺東縣政府,資訊室,大武鄉公所,,臺東縣大武鄉尚武村政通三街5號,鄉鎮市區,,,238661.7,2471264.14,,20170930
臺東縣政府,資訊室,統一超商-尚武門市,,臺東縣大武鄉尚武村環港路3號,鄉鎮市區,,,238973.36,2470997.19,,20170930
臺東縣政府,資訊室,小野柳遊客中心,,臺東縣台東市松江路一段500號 ,觀光景點,,,270159.7,2521665.81,,20170930
臺東縣政府,資訊室,國立台灣史前博物館1(公車乘車處),,臺東縣台東市博物館路1號,觀光景點,,,259382.06,2517718.7,,20170930
臺東縣政府,資訊室,國立台灣史前博物館2(2F中庭廣場),,臺東縣台東市博物館路1號,觀光景點,,,259382.06,2517718.7,,20170930
臺東縣政府,資訊室,行政院農業委員會茶業改良場台東分場,,臺東縣鹿野鄉北二路66號,觀光景點,,,263388.95,2534044.56,,20170930
臺東縣政府,資訊室,關山分局警察史蹟文物館,,臺東縣關山鎮中正路27號,觀光景點,,,266451.62,2549601.92,,20170930
臺東縣政府,資訊室,海濱公園,,臺東縣台東市南海路22號,觀光景點,,,266127.11,2516542.3,,20170930
臺東縣政府,資訊室,統一超商-台東知本店,,臺東縣台東市知本路三段618號旁號誌桿上,觀光景點,,,254338.11,2511806.99,,20170930
