100年12月行政區原住民15歲以上人口十歲年齡組與性別與婚姻狀況人口統計_村里_臺東縣.csv, http://www.taitung.gov.tw/opendata/OD_OpenData_DealData.aspx?s=391621B1FA79EBB3&n=4A2DB40EB35F337E, 100年12月行政區原住民15歲以上人口十歲年齡組與性別與婚姻狀況人口統計_村里_臺東縣.csv
100年12月行政區原住民15歲以上人口十歲年齡組與性別與婚姻狀況人口統計_鄉鎮市區_臺東縣.csv, http://www.taitung.gov.tw/opendata/OD_OpenData_DealData.aspx?s=9A8A472CA60C0CDC&n=4A2DB40EB35F337E, 100年12月行政區原住民15歲以上人口十歲年齡組與性別與婚姻狀況人口統計_鄉鎮市區_臺東縣.csv
100年12月行政區原住民15歲以上人口十歲年齡組與性別與教育程度人口統計_村里_臺東縣.csv, http://www.taitung.gov.tw/opendata/OD_OpenData_DealData.aspx?s=E17F6BF86A7C7EBA&n=4A2DB40EB35F337E, 100年12月行政區原住民15歲以上人口十歲年齡組與性別與教育程度人口統計_村里_臺東縣.csv
100年12月行政區原住民15歲以上人口十歲年齡組與性別與教育程度人口統計_鄉鎮市區_臺東縣.csv, http://www.taitung.gov.tw/opendata/OD_OpenData_DealData.aspx?s=E64CE627F7152412&n=4A2DB40EB35F337E, 100年12月行政區原住民15歲以上人口十歲年齡組與性別與教育程度人口統計_鄉鎮市區_臺東縣.csv
100年12月行政區原住民人口指標_村里_臺東縣.csv, http://www.taitung.gov.tw/opendata/OD_OpenData_DealData.aspx?s=53026DD483F63F6F&n=4A2DB40EB35F337E, 100年12月行政區原住民人口指標_村里_臺東縣.csv
100年12月行政區原住民人口指標_鄉鎮市區_臺東縣.csv, http://www.taitung.gov.tw/opendata/OD_OpenData_DealData.aspx?s=C58B0984AE840F04&n=4A2DB40EB35F337E, 100年12月行政區原住民人口指標_鄉鎮市區_臺東縣.csv
100年12月行政區原住民人口統計_村里_臺東縣.csv, http://www.taitung.gov.tw/opendata/OD_OpenData_DealData.aspx?s=B97913B02BA42A9F&n=4A2DB40EB35F337E, 100年12月行政區原住民人口統計_村里_臺東縣.csv
100年12月行政區原住民人口統計_鄉鎮市區_臺東縣.csv, http://www.taitung.gov.tw/opendata/OD_OpenData_DealData.aspx?s=587B06AA3B7E815B&n=4A2DB40EB35F337E, 100年12月行政區原住民人口統計_鄉鎮市區_臺東縣.csv
100年12月行政區原住民十歲年齡組人口統計_村里_臺東縣.csv, http://www.taitung.gov.tw/opendata/OD_OpenData_DealData.aspx?s=777822F00557B769&n=4A2DB40EB35F337E, 100年12月行政區原住民十歲年齡組人口統計_村里_臺東縣.csv
100年12月行政區原住民十歲年齡組人口統計_鄉鎮市區_臺東縣.csv, http://www.taitung.gov.tw/opendata/OD_OpenData_DealData.aspx?s=9ECAB207F55067C9&n=4A2DB40EB35F337E, 100年12月行政區原住民十歲年齡組人口統計_鄉鎮市區_臺東縣.csv
100年12月行政區原住民十歲年齡組性別人口統計_村里_臺東縣.csv, http://www.taitung.gov.tw/opendata/OD_OpenData_DealData.aspx?s=1BDCEB573A155D9A&n=4A2DB40EB35F337E, 100年12月行政區原住民十歲年齡組性別人口統計_村里_臺東縣.csv
100年12月行政區原住民十歲年齡組性別人口統計_鄉鎮市區_臺東縣.csv, http://www.taitung.gov.tw/opendata/OD_OpenData_DealData.aspx?s=DC8EA503D571AF4E&n=4A2DB40EB35F337E, 100年12月行政區原住民十歲年齡組性別人口統計_鄉鎮市區_臺東縣.csv
100年12月行政區醫療院所統計_鄉鎮市區_臺東縣.csv, http://www.taitung.gov.tw/opendata/OD_OpenData_DealData.aspx?s=E629CC6F403F7402&n=4A2DB40EB35F337E, 100年12月行政區醫療院所統計_鄉鎮市區_臺東縣.csv
100年12月行政區護產機構統計_鄉鎮市區_臺東縣.csv, http://www.taitung.gov.tw/opendata/OD_OpenData_DealData.aspx?s=36BEFD9E21BB8AA7&n=4A2DB40EB35F337E, 100年12月行政區護產機構統計_鄉鎮市區_臺東縣.csv
100年12月臺東縣統計區15歲以上人口十歲年齡組與性別與教育程度與婚姻狀況統計_二級發布區.csv, http://www.taitung.gov.tw/opendata/OD_OpenData_DealData.aspx?s=050986896173B482&n=4A2DB40EB35F337E, 100年12月臺東縣統計區15歲以上人口十歲年齡組與性別與教育程度與婚姻狀況統計_二級發布區.csv
100年12月臺東縣統計區15歲以上人口五歲年齡組婚姻狀況統計_二級發布區.csv, http://www.taitung.gov.tw/opendata/OD_OpenData_DealData.aspx?s=D07C871A0467CE41&n=4A2DB40EB35F337E, 100年12月臺東縣統計區15歲以上人口五歲年齡組婚姻狀況統計_二級發布區.csv
100年12月臺東縣統計區15歲以上人口五歲年齡組教育程度統計_二級發布區.csv, http://www.taitung.gov.tw/opendata/OD_OpenData_DealData.aspx?s=4892E8B8F5C0E174&n=4A2DB40EB35F337E, 100年12月臺東縣統計區15歲以上人口五歲年齡組教育程度統計_二級發布區.csv
100年12月臺東縣統計區15歲以上人口五歲年齡組統計_二級發布區.csv, http://www.taitung.gov.tw/opendata/OD_OpenData_DealData.aspx?s=BF634E946ACD5EAA&n=4A2DB40EB35F337E, 100年12月臺東縣統計區15歲以上人口五歲年齡組統計_二級發布區.csv
100年12月臺東縣統計區15歲以上人口五歲年齡組與性別與婚姻狀況統計_二級發布區.csv, http://www.taitung.gov.tw/opendata/OD_OpenData_DealData.aspx?s=2C28D363038C300F&n=4A2DB40EB35F337E, 100年12月臺東縣統計區15歲以上人口五歲年齡組與性別與婚姻狀況統計_二級發布區.csv
100年12月臺東縣統計區15歲以上人口五歲年齡組與性別與教育程度人口統計_二級發布區.csv, http://www.taitung.gov.tw/opendata/OD_OpenData_DealData.aspx?s=3BFF7336E5AF5AE9&n=4A2DB40EB35F337E, 100年12月臺東縣統計區15歲以上人口五歲年齡組與性別與教育程度人口統計_二級發布區.csv
100年12月臺東縣統計區15歲以上人口性別與婚姻狀況統計_二級發布區.csv, http://www.taitung.gov.tw/opendata/OD_OpenData_DealData.aspx?s=324F160A2162E198&n=4A2DB40EB35F337E, 100年12月臺東縣統計區15歲以上人口性別與婚姻狀況統計_二級發布區.csv
